Date,Product,Quantity,Unit_Price,Total_Sales
2026-05-31,USB-C Hub,3,89.99,269.96999999999997
2026-06-01,Wireless Headphones,4,45.0,180.0
2026-06-03,Wireless Headphones,4,89.99,359.96
2026-06-06,Wireless Headphones,4,129.99,519.96
2026-06-07,Ergonomic Mouse,2,34.99,69.98
2026-06-09,USB-C Hub,4,34.99,139.96
2026-06-10,Wireless Headphones,4,89.99,359.96
2026-06-11,USB-C Hub,4,59.99,239.96
2026-06-11,USB-C Hub,4,59.99,239.96
2026-06-12,Laptop Stand,2,45.0,90.0
2026-06-12,Laptop Stand,1,89.99,89.99
2026-06-13,USB-C Hub,1,34.99,34.99
2026-06-16,Ergonomic Mouse,3,129.99,389.97
2026-06-19,Ergonomic Mouse,3,89.99,269.96999999999997
2026-06-19,USB-C Hub,4,45.0,180.0
2026-06-20,Ergonomic Mouse,2,45.0,90.0
2026-06-21,Ergonomic Mouse,1,45.0,45.0
2026-06-21,USB-C Hub,2,59.99,119.98
2026-06-24,Wireless Headphones,1,129.99,129.99
2026-06-24,Ergonomic Mouse,1,34.99,34.99
2026-06-24,Mechanical Keyboard,4,89.99,359.96
2026-06-28,Wireless Headphones,3,59.99,179.97
2026-06-29,Wireless Headphones,3,45.0,135.0
